,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
134,Josh Christopher,SG,20,HOU,74,2,18.0,3.0,6.8,.448,0.8,2.6,.296,2.3,4.2,.540,.504,1.1,1.5,.735,0.7,1.8,2.5,2.0,0.9,0.2,1.5,1.3,7.9
137,Jordan Clarkson,SG,29,UTA,79,1,27.1,5.9,14.1,.419,2.4,7.6,.318,3.5,6.5,.535,.504,1.8,2.2,.828,0.8,2.6,3.5,2.5,0.8,0.2,1.6,1.9,16.0
139,Amir Coffey,SG,24,LAC,69,30,22.7,3.1,6.8,.453,1.4,3.7,.378,1.7,3.1,.542,.556,1.5,1.7,.863,0.4,2.5,2.9,1.8,0.6,0.2,0.7,1.3,9.0
160,Jarron Cumberland,SG,24,POR,3,0,4.0,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.0,0.0,0,0.3,0.7,1.0,0.3,0.0,0.0,0.0,0.7,0.7
161,Cade Cunningham,SG,20,DET,64,64,32.6,6.7,16.1,.416,1.8,5.7,.314,4.9,10.4,.472,.471,2.2,2.6,.845,0.9,4.6,5.5,5.6,1.2,0.7,3.7,3.1,17.4
163,Seth Curry,SG,31,PHI,45,45,34.8,5.7,11.7,.485,2.2,5.6,.400,3.5,6.2,.561,.580,1.4,1.6,.877,0.4,3.0,3.4,4.0,0.8,0.2,1.9,2.2,15.0
164,Seth Curry,SG,31,BRK,19,19,29.9,5.5,11.1,.493,3.1,6.5,.468,2.4,4.6,.529,.630,0.9,1.1,.857,0.2,2.4,2.6,2.6,0.9,0.2,1.3,2.5,14.9
168,Terence Davis,SG,24,SAC,30,11,17.9,3.8,8.9,.423,1.6,5.0,.329,2.1,3.9,.542,.515,1.2,1.5,.818,0.4,2.8,3.1,1.3,0.8,0.4,1.1,2.3,10.4
176,Hamidou Diallo,SG,23,DET,58,29,21.9,4.5,9.1,.496,0.4,1.6,.247,4.1,7.5,.550,.518,1.6,2.4,.650,1.2,3.6,4.8,1.3,1.2,0.3,1.0,2.5,11.0
182,Donte DiVincenzo,SG,25,MIL,17,0,20.1,2.3,6.9,.331,1.2,4.4,.284,1.1,2.6,.409,.419,1.4,1.6,.852,1.1,2.5,3.5,1.7,0.6,0.2,1.6,1.5,7.2
183,Donte DiVincenzo,SG,25,SAC,25,1,26.6,3.2,8.7,.362,2.1,5.8,.368,1.0,3.0,.351,.484,1.9,2.2,.839,0.9,3.5,4.4,3.6,1.5,0.2,1.8,1.7,10.3
186,Luguentz Dort,SG,22,OKC,51,51,32.6,5.7,14.2,.404,2.5,7.7,.332,3.2,6.6,.487,.493,3.2,3.7,.843,0.7,3.4,4.2,1.7,0.9,0.4,1.7,2.9,17.2
187,Ayo Dosunmu,SG,22,CHI,77,40,27.4,3.6,6.9,.520,0.9,2.4,.376,2.7,4.5,.596,.585,0.7,1.0,.679,0.4,2.4,2.8,3.3,0.8,0.4,1.4,2.4,8.8
188,Damyean Dotson,SG,27,NYK,2,0,10.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,0.0,0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,2.0
195,PJ Dozier,SG,25,DEN,18,0,18.9,2.0,5.5,.364,0.8,2.7,.313,1.2,2.8,.412,.439,0.6,0.7,.769,0.8,2.7,3.5,1.6,0.6,0.3,0.7,1.8,5.4
202,Chris Duarte,SG,24,IND,55,39,28.0,4.9,11.3,.432,1.7,4.6,.369,3.2,6.7,.475,.507,1.6,2.0,.804,0.7,3.4,4.1,2.1,1.0,0.2,1.6,1.7,13.1
207,Anthony Edwards,SG,20,MIN,72,72,34.3,7.6,17.3,.441,3.0,8.4,.357,4.6,8.9,.519,.527,3.1,3.9,.786,0.9,3.9,4.8,3.8,1.5,0.6,2.6,2.3,21.3
208,Carsen Edwards,SG,23,DET,4,0,19.8,2.3,7.5,.300,1.0,4.0,.250,1.3,3.5,.357,.367,0.3,0.3,1.000,0.5,1.0,1.5,3.5,0.5,0.0,1.3,1.0,5.8
